Rk,Player,Ft,In,Inches,Salary,Salary_M,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MPG,PPG,FGAPG,RPG,APG,STLPG,BPG
112,Marcus Thornton,6,1,73,8575000,8.575,2014-15,27,BOS,NBA,39,0,640,127,305,75,181,52,124,42,51,19,54,73,34,21,7,22,35,348,0.416,0.414,0.419,0.502,0.824,0.531,16.4,8.9,7.8,1.9,0.9,0.5,0.2
113,Dwyane Wade,6,1,73,15000000,15.000,2014-15,33,MIA,NBA,37,37,1181,303,630,287,578,16,52,159,215,39,101,140,193,38,15,122,69,781,0.481,0.497,0.308,0.494,0.74,0.539,31.9,21.1,17,3.8,5.2,1,0.4
114,Dion Waiters,6,1,73,4062000,4.062,2014-15,23,TOT,NBA,53,5,1330,225,572,188,425,37,147,73,98,21,84,105,104,69,17,80,98,560,0.393,0.442,0.252,0.426,0.745,0.455,25.1,10.6,10.8,2,2,1.3,0.3
115,John Wall,6,1,73,14746000,14.746,2014-15,24,WAS,NBA,55,55,1961,357,774,312,627,45,147,197,257,24,222,246,555,102,31,204,129,956,0.461,0.498,0.306,0.49,0.767,0.539,35.7,17.4,14.1,4.5,10.1,1.9,0.6
116,Nate Wolters,6,1,73,816482,0.816,2014-15,23,TOT,NBA,21,0,247,20,57,20,50,0,7,2,6,8,26,34,21,8,2,13,18,42,0.351,0.4,0,0.351,0.333,0.352,11.8,2,2.7,1.6,1,0.4,0.1
117,Jordan Adams,6,2,74,1344120,1.344,2014-15,20,MEM,NBA,15,0,106,12,29,8,19,4,10,5,10,2,10,12,7,7,4,7,13,33,0.414,0.421,0.4,0.483,0.5,0.494,7.1,2.2,1.9,0.8,0.5,0.5,0.3
118,Arron Afflalo,6,2,74,7750000,7.750,2014-15,29,DEN,NBA,53,53,1750,281,657,199,414,82,243,127,151,21,159,180,101,32,5,83,108,771,0.428,0.481,0.337,0.49,0.841,0.533,33,14.5,12.4,3.4,1.9,0.6,0.1
119,Kent Bazemore,6,2,74,2000000,2.000,2014-15,25,ATL,NBA,48,2,703,76,175,48,110,28,65,24,49,11,105,116,37,23,19,39,75,204,0.434,0.436,0.431,0.514,0.49,0.519,14.6,4.3,3.6,2.4,0.8,0.5,0.4
120,Bradley Beal,6,2,74,4505280,4.505,2014-15,21,WAS,NBA,42,38,1404,235,555,160,383,75,172,86,106,38,122,160,128,52,11,82,95,631,0.423,0.418,0.436,0.491,0.811,0.524,33.4,15,13.2,3.8,3,1.2,0.3
121,Marco Belinelli,6,2,74,2873750,2.874,2014-15,28,SAS,NBA,36,9,830,127,287,78,161,49,126,49,62,17,74,91,65,17,2,34,50,352,0.443,0.484,0.389,0.528,0.79,0.56,23.1,9.8,8,2.5,1.8,0.5,0.1
122,Lorenzo Brown,6,2,74,59686,0.060,2014-15,24,MIN,NBA,5,1,98,5,16,3,12,2,4,4,6,1,9,10,15,2,0,8,8,16,0.313,0.25,0.5,0.375,0.667,0.429,19.6,3.2,3.2,2,3,0.4,0
123,Kentavious Caldwell-Pope,6,2,74,2772480,2.772,2014-15,21,DET,NBA,55,55,1693,242,610,142,326,100,284,72,106,32,139,171,62,59,15,62,114,656,0.397,0.436,0.352,0.479,0.679,0.5,30.8,11.9,11.1,3.1,1.1,1.1,0.3
125,Jordan Clarkson,6,1,73,507336,0.507,2014-15,22,LAL,NBA,32,11,585,86,216,72,172,14,44,62,76,23,43,66,59,24,5,30,33,248,0.398,0.419,0.318,0.431,0.816,0.497,18.3,7.8,6.8,2.1,1.8,0.8,0.2
126,Jamal Crawford,6,1,73,5450000,5.450,2014-15,34,LAC,NBA,55,4,1478,290,728,185,412,105,316,214,237,16,92,108,147,53,10,83,95,899,0.398,0.449,0.332,0.47,0.903,0.54,26.9,16.3,13.2,2,2.7,1,0.2
127,Andre Dawkins,6,1,73,59686,0.060,2014-15,23,MIA,NBA,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.167,,0.167,0.25,,0.25,5.5,0.8,1.5,0.5,0.3,0,0
128,Zoran Dragic,6,1,73,1962103,1.962,2014-15,25,PHO,NBA,6,0,13,2,8,2,3,0,5,2,3,2,1,3,1,0,0,0,1,6,0.25,0.667,0,0.25,0.667,0.322,2.2,1,1.3,0.5,0.2,0,0
129,Archie Goodwin,6,1,73,1112280,1.112,2014-15,20,PHO,NBA,16,0,136,24,56,21,46,3,10,24,31,5,16,21,12,4,2,7,15,75,0.429,0.457,0.3,0.455,0.774,0.538,8.5,4.7,3.5,1.3,0.8,0.3,0.1
130,James Harden,6,1,73,14728844,14.729,2014-15,25,HOU,NBA,55,55,2006,452,996,307,619,145,377,448,516,51,263,314,372,110,42,222,144,1497,0.454,0.496,0.385,0.527,0.868,0.612,36.5,27.2,18.1,5.7,6.8,2,0.8
131,Gerald Henderson,6,1,73,6000000,6.000,2014-15,27,CHO,NBA,51,43,1401,214,497,190,416,24,81,114,130,25,131,156,134,27,16,63,82,566,0.431,0.457,0.296,0.455,0.877,0.511,27.5,11.1,9.7,3.1,2.6,0.5,0.3
132,Jeremy Lamb,6,1,73,2202000,2.202,2014-15,22,OKC,NBA,36,8,549,88,209,53,115,35,94,44,49,7,84,91,41,20,5,23,48,255,0.421,0.461,0.372,0.505,0.898,0.553,15.3,7.1,5.8,2.5,1.1,0.6,0.1
133,Zach LaVine,6,1,73,2055840,2.056,2014-15,19,MIN,NBA,49,23,1051,144,347,125,280,19,67,65,81,12,91,103,157,38,6,103,98,372,0.415,0.446,0.284,0.442,0.802,0.486,21.4,7.6,7.1,2.1,3.2,0.8,0.1
134,Courtney Lee,6,1,73,5450000,5.450,2014-15,29,MEM,NBA,50,47,1561,199,418,134,273,65,145,73,86,14,103,117,103,52,9,52,79,536,0.476,0.491,0.448,0.554,0.849,0.588,31.2,10.7,8.4,2.3,2.1,1,0.2
136,Wesley Matthews,6,1,73,7245640,7.246,2014-15,28,POR,NBA,54,54,1833,314,693,152,283,162,410,90,122,35,161,196,124,65,8,74,119,880,0.453,0.537,0.395,0.57,0.738,0.589,33.9,16.3,12.8,3.6,2.3,1.2,0.1
137,O.J. Mayo,6,1,73,8000000,8.000,2014-15,27,MIL,NBA,54,15,1329,234,555,158,342,76,213,96,115,22,120,142,156,40,15,94,131,640,0.422,0.462,0.357,0.49,0.835,0.528,24.6,11.9,10.3,2.6,2.9,0.7,0.3
138,Ben McLemore,6,1,73,3026280,3.026,2014-15,21,SAC,NBA,54,54,1793,230,527,135,260,95,267,74,89,20,141,161,80,39,13,89,146,629,0.436,0.519,0.356,0.527,0.831,0.555,33.2,11.6,9.8,3,1.5,0.7,0.2
139,Anthony Morrow,6,1,73,3200000,3.200,2014-15,29,OKC,NBA,47,0,1130,163,372,95,191,68,181,49,56,28,87,115,41,33,4,21,84,443,0.438,0.497,0.376,0.53,0.875,0.558,24,9.4,7.9,2.4,0.9,0.7,0.1
140,Toure' Murry,6,1,73,250000,0.250,2014-15,25,UTA,NBA,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1,0,1,0,0,0,0
141,Thabo Sefolosha,6,1,73,4150000,4.150,2014-15,30,ATL,NBA,45,7,853,86,203,67,138,19,65,38,51,46,148,194,66,47,21,32,59,229,0.424,0.486,0.292,0.47,0.745,0.508,19,5.1,4.5,4.3,1.5,1,0.5
142,Iman Shumpert,6,1,73,2616975,2.617,2014-15,24,TOT,NBA,37,24,894,125,288,82,178,43,110,29,44,29,84,113,90,49,7,60,88,322,0.434,0.461,0.391,0.509,0.659,0.524,24.2,8.7,7.8,3.1,2.4,1.3,0.2
143,Lance Stephenson,6,1,73,9000000,9.000,2014-15,24,CHO,NBA,39,25,1162,144,392,132,310,12,82,46,78,30,187,217,192,28,6,91,96,346,0.367,0.426,0.146,0.383,0.59,0.406,29.8,8.9,10.1,5.6,4.9,0.7,0.2
144,Rodney Stuckey,6,1,73,1227985,1.228,2014-15,28,IND,NBA,47,36,1221,210,471,185,400,25,71,120,144,22,139,161,140,39,5,77,97,565,0.446,0.463,0.352,0.472,0.833,0.529,26,12,10,3.4,3,0.8,0.1
145,P.J. Tucker,6,1,73,5700000,5.700,2014-15,29,PHO,NBA,52,38,1487,157,349,95,183,62,166,51,69,60,249,309,82,71,16,50,115,427,0.45,0.519,0.373,0.539,0.739,0.563,28.6,8.2,6.7,5.9,1.6,1.4,0.3
146,C.J. Wilcox,6,1,73,1109760,1.110,2014-15,24,LAC,NBA,12,0,74,14,29,9,15,5,14,2,2,1,4,5,6,2,0,4,6,35,0.483,0.6,0.357,0.569,1,0.586,6.2,2.9,2.4,0.4,0.5,0.2,0
147,Elliot Williams,6,1,73,53838,0.054,2014-15,25,UTA,NBA,5,0,42,6,13,1,6,5,7,1,2,0,3,3,4,2,0,4,1,18,0.462,0.167,0.714,0.654,0.5,0.648,8.4,3.6,2.6,0.6,0.8,0.4,0
148,Alan Anderson,6,2,74,1276061,1.276,2014-15,32,BRK,NBA,53,12,1242,125,291,74,141,51,150,56,71,27,119,146,58,41,5,45,107,357,0.43,0.525,0.34,0.517,0.789,0.554,23.4,6.7,5.5,2.8,1.1,0.8,0.1
149,Will Barton,6,2,74,915243,0.915,2014-15,24,POR,NBA,30,0,300,38,100,34,82,4,18,10,15,3,31,34,27,14,4,17,20,90,0.38,0.415,0.222,0.4,0.667,0.422,10,3,3.3,1.1,0.9,0.5,0.1
150,Kobe Bryant,6,2,74,23500000,23.500,2014-15,36,LAL,NBA,35,35,1207,266,713,212,529,54,184,196,241,26,173,199,197,47,7,128,65,782,0.373,0.401,0.293,0.411,0.813,0.477,34.5,22.3,20.4,5.7,5.6,1.3,0.2
151,Alec Burks,6,2,74,3034356,3.034,2014-15,23,UTA,NBA,27,27,899,121,300,95,232,26,68,106,129,19,95,114,82,17,5,52,64,374,0.403,0.409,0.382,0.447,0.822,0.524,33.3,13.9,11.1,4.2,3,0.6,0.2
152,Nick Calathes,6,2,74,816482,0.816,2014-15,25,MEM,NBA,30,0,380,53,116,48,96,5,20,8,18,6,32,38,74,26,3,25,48,119,0.457,0.5,0.25,0.478,0.444,0.48,12.7,4,3.9,1.3,2.5,0.9,0.1
153,Vince Carter,6,2,74,3911981,3.912,2014-15,38,MEM,NBA,44,0,730,96,287,52,126,44,161,30,39,19,65,84,58,32,10,30,66,266,0.334,0.413,0.273,0.411,0.769,0.437,16.6,6,6.5,1.9,1.3,0.7,0.2
154,Michael Carter-Williams,6,2,74,2300040,2.300,2014-15,23,PHI,NBA,41,38,1391,232,611,200,486,32,125,117,182,43,211,254,302,60,18,174,103,613,0.38,0.412,0.256,0.406,0.643,0.444,33.9,15,14.9,6.2,7.4,1.5,0.4
155,Allen Crabbe,6,2,74,862000,0.862,2014-15,22,POR,NBA,37,7,472,40,94,18,37,22,57,8,9,5,37,42,28,13,14,10,52,110,0.426,0.486,0.386,0.543,0.889,0.561,12.8,3,2.5,1.1,0.8,0.4,0.4
156,Spencer Dinwiddie,6,2,74,700000,0.700,2014-15,21,DET,NBA,17,1,186,19,57,15,32,4,25,10,11,0,17,17,40,8,3,11,17,52,0.333,0.469,0.16,0.368,0.909,0.42,10.9,3.1,3.4,1,2.4,0.5,0.2
